die	death, resemblance, resale, resuscitation, demurrence, resistance, diein, resuance, diesale, resurgence
win	winner, sweepstakes, runnerup, win, victory, up, drawee, wniver, wriver
survive	survivor, survivors, survival, supravievie, supraviezue, supraviețue, supraviector, supraviețual, survivorship, supraviexia
be	being, bequest, betrayal, bereavement, resemblance, apprehension, betrothal, hiatus, order, responsibility
fail	failure, failunderderentree, failunderderderder, failundertheseat, failunderthesnow, failunderthework, failcertificate, failunderderision, failundertheway, failunderthesea
succeed	successor, appointee, society, party, sponsor, societe, litem, hoc, appointment, libitum
live	lone, life, liasion, apprehension, lonesome, resemblance, liason, resale, ling
pass	passage, passing, apprehension, order, resale, pragmatism, severance, examination, passee, sacrament
cry	cry, cryout, crying, cryosis, cries, cryotherapy, cryostat, cryotype
do	doityourself, definition, apprehension, doityourselfer, ad, doing, doitall, recitation, revocation
know	knowledge, knowhow, knowitall, knowityouwere, apprehension, knowing, knowledgment, knowitsuggestion, knowitup
fall	fall, fallinreckoner, adversity, fallinreckonation, fallinequivalence, fallinrelevance, fallinthesea, fallinreckonition, fallinlove, fallinswing
leave	departure, leaver, leaveee, apprehension, retrial, appointment, detour, relegation, revocation, retort
work	worker, adolescence, hoc, apprehension, adolescent, appointment, action, admonition
come	coming, comeback, community, age, october, commencement, communautae, communautie
not	nonexistence, nonresponsibility, noncompliance, nonsensation, notation, nonsensical
lose	loss, lull, loser, liquoriasis, liquérisation, liquor, liquérism, liquérie, liquoriase, liquoriasm
return	return, reaccomplishment, reentry, resumption, returnee, reaccomplissement, recompense, reaccompansion, reaccompanation
bite	bite, bicep, biting, biceps, tadpoleon, taint, incision, biturism, bruising, bitumen
explode	explosion, device, weapon, force, vehicle, object, exploding, person, party
answer	answeree, answer, response, responsibility, responsible, officer, party, responsibilt
disappear	disappearance, person, event, fugitive, dismemberment, vanishance, savior, resembl, frightened, sailor
try	tryst, tryout, system, reprimand, us, trysts, result, tamper
tell	teller, telltale, telling, writer, adulation, story, tense, tellee
stay	reinterment, stay, stayee, resistance, resale, residue, residual, stayed, reunification
fly	flight, flier, flieger, flyer, airliner, aviator, airline, adulation, fliechery
happen	happenence, happening, happennce, happennt, happenance, happenstance, happen, occurrence, happendence, happenntal
go	go, gossip, goahead, goround, gogetter, goer, gossamer, goverment, gower, gormance
help	help, assistance, helping, ajutoree, appointee, helpee, appointment, aplenty, helppprehension, helper
sue	lawsuit, sue, suit, severance, suee, sueemem, sueemployee, apprehension, sueemployment
respond	respondent, response, reaction, răspunsee, reply
remember	remembrance, memory, remembrances, recollection, reminiscence, emphases, emphasement
run	run, runner, running, race, ransom, runaway, runoff, runin, commander, rune
change	change, resemblance, reshapement, transformation, apprehension, reshaping, resale, reelection, order
eat	eataholic, eater, eatin, eatonment, eatable, eatability, eat, eatback, eatalong
last	resale, last, longterm, apprehension, adequacy, longevity, duration, care, reversal
too	too, tooemphasis, toolery, tooneighbor, toomaydiscrimination, tooaction, toolerability, tooeasiness, toomaydisclaimer, tooreadiness
miss	misses, opportunity, misshapen, chance, missee, misseurism, misseon, misseen
pay	payee, resale, payment, remittance, court, emcee, party, giant
listen	listener, to, listening, apprehension, hoc, adulation, listenedin
retire	retraitee, retirement, reretirement, pensioner, pensionee, resumption, retrenchery, reretitement, retunition
suffer	suffering, sufferer, suffocation, sacrifice, severance, sourness, savagery, souffrion, saint, sabotaging
understand	understanding, comprehension, understander, explanation, compréhension, understandable, understandee, understandance, understood
have	having, haven, have, havetaken, haveall, havenot, haveaction, haveover, haveeffect, haste
